kind,path,size_bytes,size_readable
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\window\__pycache__,206878,202.03 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\packaging\__pycache__,199871,195.19 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\websockets\__pycache__,195407,190.83 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\arrays\__pycache__,195337,190.76 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools\__pycache__,195213,190.64 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pycparser\ply\__pycache__,195022,190.45 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\groupby\aggregate\__pycache__,194119,189.57 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\dialects\sqlite\__pycache__,189720,185.27 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\__pycache__,183604,179.30 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\arrays\arrow\__pycache__,182217,177.95 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\websockets\legacy\__pycache__,182174,177.90 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\pygments\__pycache__,181177,176.93 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\urllib3\__pycache__,179421,175.22 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\linalg\tests\__pycache__,176313,172.18 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\strings\__pycache__,175965,171.84 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\pygments\formatters\__pycache__,173479,169.41 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\_vendor\more_itertools\__pycache__,173244,169.18 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_internal\utils\__pycache__,171772,167.75 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\websockets\asyncio\__pycache__,168486,164.54 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\datetimes\methods\__pycache__,168147,164.21 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\scalar\timestamp\__pycache__,166404,162.50 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\computation\__pycache__,165370,161.49 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\scalar\timedelta\__pycache__,164416,160.56 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_internal\commands\__pycache__,163036,159.21 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\pkg_resources\__pycache__,160141,156.39 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pkg_resources\__pycache__,159571,155.83 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\alembic\ddl\__pycache__,159335,155.60 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\io\parser\common\__pycache__,157487,153.80 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\scalar\period\__pycache__,157232,153.55 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\generic\__pycache__,156634,152.96 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\io\excel\__pycache__,156289,152.63 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\rapidfuzz\distance\__pycache__,154345,150.73 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pydantic_core\__pycache__,152215,148.65 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\distutils\command\__pycache__,151038,147.50 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\charset_normalizer\__pycache__,150212,146.69 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\openpyxl\drawing\__pycache__,150004,146.49 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\io\xml\__pycache__,149577,146.07 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\openpyxl\chart\__pycache__,148489,145.01 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\_vendor\__pycache__,145580,142.17 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\distutils\fcompiler\__pycache__,143354,139.99 KB
